subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	centralTask 	centralStream 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
charlieEndogenous	dot-jump	False	33	circle	1024	768	1.16079767166	70.6	94.12	True	NAFCUWMK1EYHTZLBRPISVDJQ	3	-2.90199417916	5.02640136157	1.50218272469	5.60622225078	-2.78516509987	5.04340707273	False	21	8	17	4	13	11	10	15	23	16	24	8	21	5	2	20	12	19	14	9	18	22	7	3	6	1	0
charlieEndogenous	dot-jump	False	34	circle	1024	768	1.16079767166	70.6	94.12	True	ZKXRCFAPY2JTHDBNVWIQMSLU	11	-2.90199417916	-5.02640136157	0.0	-5.80398835832	-2.97335193094	-5.34450600245	False	15	9	24	20	14	2	16	18	22	19	6	13	17	12	8	9	4	11	1	5	15	21	3	23	7	10	0
charlieEndogenous	dot-jump	False	35	circle	1024	768	1.16079767166	70.6	94.12	True	TAEVXIQJUPYD8BWSFZKRLMCH	15	2.90199417916	-5.02640136157	2.90199417916	5.02640136157	2.93571456472	-5.00576970652	False	14	12	9	18	20	13	5	24	6	11	1	12	17	4	23	16	15	7	14	8	10	2	22	3	21	19	0
charlieEndogenous	dot-jump	False	36	circle	1024	768	1.16079767166	70.6	94.12	True	TBZHJRWXUC1DLSIMNAVFPEQK	14	1.50218272469	-5.60622225078	5.80398835832	0.0	1.58076938101	-5.41978073488	False	13	10	23	16	10	6	3	11	15	7	1	12	19	8	9	14	4	24	21	17	20	2	5	22	18	13	0
charlieEndogenous	dot-jump	False	37	circle	1024	768	1.16079767166	70.6	94.12	True	YJFHULPINVTBSKMC1ERXZDWA	21	5.02640136157	2.90199417916	-5.02640136157	-2.90199417916	5.00576970652	3.01098929715	False	4	16	5	4	1	3	21	15	22	13	12	11	2	19	17	14	24	20	9	16	10	23	6	18	8	7	0
charlieEndogenous	dot-jump	False	38	circle	1024	768	1.16079767166	70.6	94.12	True	KHZCVAXM9TYQPLRIUWBEJNDF	15	2.90199417916	-5.02640136157	5.80398835832	0.0	2.89807719851	-5.19395653759	False	11	8	6	9	2	10	1	24	13	17	19	11	16	15	22	5	18	12	4	14	23	3	20	8	7	21	0
charlieEndogenous	dot-jump	False	39	circle	1024	768	1.16079767166	70.6	94.12	True	JDKINMUSRBEQPH3VWATFYXLZ	17	5.02640136157	-2.90199417916	2.90199417916	-5.02640136157	4.40357184709	-2.5969782688	False	18	14	1	9	11	19	4	10	12	14	3	7	24	13	20	21	15	22	18	2	17	6	5	8	23	16	0
charlieEndogenous	dot-jump	False	40	circle	1024	768	1.16079767166	70.6	94.12	True	CQBJTEWLA2XRDSIKPVZMYHUN	4	-4.10403952609	4.10403952609	-1.50218272469	5.60622225078	-4.29065974844	4.10247291737	False	11	9	21	14	15	6	22	8	17	13	11	2	18	4	7	19	1	24	5	3	9	23	12	16	10	20	0
charlieEndogenous	dot-jump	False	41	circle	1024	768	1.16079767166	70.6	94.12	True	MHFIBVKENDSQL7UWZRYCTJAX	21	5.02640136157	2.90199417916	-5.02640136157	2.90199417916	4.59175867816	3.01098929715	False	20	13	19	16	11	14	17	1	18	4	3	12	13	9	10	5	23	24	20	22	6	15	21	8	7	2	0
charlieEndogenous	dot-jump	False	42	circle	1024	768	1.16079767166	70.6	94.12	True	FCTYMBRQKNUV9XHZLAIPESJW	23	2.90199417916	5.02640136157	4.10403952609	-4.10403952609	2.5969782688	5.08104443895	False	7	12	11	12	17	6	13	14	9	23	7	10	4	1	16	8	3	20	24	15	22	5	18	21	2	19	0
charlieEndogenous	dot-jump	False	43	circle	1024	768	1.16079767166	70.6	94.12	True	NRQKWAVTEHJ7DXUSCZFLMIYP	24	1.50218272469	5.60622225078	0.0	5.80398835832	1.24203308508	4.93049497409	False	12	11	19	7	16	11	23	4	2	12	21	13	6	1	24	14	18	3	22	9	5	17	20	10	8	15	0
charlieEndogenous	dot-jump	False	44	circle	1024	768	1.16079767166	70.6	94.12	True	DKELBSTANPUIYWJ9CFQXMRVH	14	1.50218272469	-5.60622225078	-5.60622225078	-1.50218272469	1.61840674722	-5.94670386188	False	9	15	13	21	1	22	2	7	4	24	20	14	9	10	12	19	6	8	23	11	16	5	3	15	17	18	0
charlieEndogenous	dot-jump	False	45	circle	1024	768	1.16079767166	70.6	94.12	True	TIEQNABSRYPVH9WDCKJZLXMF	23	2.90199417916	5.02640136157	4.10403952609	-4.10403952609	3.1239013958	4.47884657952	False	3	13	9	19	11	23	20	10	7	14	17	18	15	1	12	16	8	22	24	5	6	3	21	2	13	4	0
charlieEndogenous	dot-jump	False	46	circle	1024	768	1.16079767166	70.6	94.12	True	XDFIPZNUSV9MQTAKWCHELYRB	12	-1.50218272469	-5.60622225078	5.60622225078	1.50218272469	-1.73131884586	-5.64560493216	False	13	10	18	10	21	22	16	24	1	13	6	8	20	4	19	12	17	15	5	11	3	9	2	23	7	14	0
charlieEndogenous	dot-jump	False	47	circle	1024	768	1.16079767166	70.6	94.12	True	TKWVQYARLFUD7PBHEJZIMCNS	16	4.10403952609	-4.10403952609	-4.10403952609	-4.10403952609	3.83901135387	-3.95192345251	False	19	12	19	21	6	4	17	20	24	12	14	23	15	7	10	13	22	18	1	5	9	16	2	3	8	11	0
charlieEndogenous	dot-jump	False	48	circle	1024	768	1.16079767166	70.6	94.12	True	LXMJKQCFB8RYDVAUESPNZITH	13	0.0	-5.80398835832	0.0	-5.80398835832	0.225824197287	-5.30686863623	True	9	9	4	15	18	10	5	6	1	23	24	13	9	7	21	14	12	2	19	11	20	17	22	3	8	16	0
charlieEndogenous	dot-jump	False	49	circle	1024	768	1.16079767166	70.6	94.12	True	IPJNFLZVEXY6HSAKQMDTCUWR	3	-2.90199417916	5.02640136157	5.60622225078	-1.50218272469	-2.70989036744	4.93049497409	False	9	11	20	12	23	17	10	11	7	14	13	3	19	18	1	6	9	2	4	15	21	16	24	8	5	22	0
charlieEndogenous	dot-jump	False	50	circle	1024	768	1.16079767166	70.6	94.12	True	LJTSHVNQICWMEDPZ5YKUFBRA	1	0.0	5.80398835832	0.0	5.80398835832	-0.33873629593	6.02197859431	True	16	16	23	15	5	4	22	12	17	11	21	24	6	9	2	20	16	8	1	10	13	19	7	3	14	18	0
charlieEndogenous	dot-jump	False	51	circle	1024	768	1.16079767166	70.6	94.12	True	IJYBZPQHFLUMNA9VEWRSDCKT	16	4.10403952609	-4.10403952609	-5.60622225078	1.50218272469	4.06483555116	-4.47884657952	False	20	14	5	11	8	7	20	4	22	21	18	23	24	2	19	3	6	13	15	17	12	9	16	14	10	1	0
charlieEndogenous	dot-jump	False	52	circle	1024	768	1.16079767166	70.6	94.12	True	JKNXDABHYFLVZUT8PECIWMRS	20	5.60622225078	1.50218272469	5.80398835832	0.0	5.45741810109	1.54313201479	False	20	15	6	15	14	9	4	8	22	1	17	24	23	3	13	18	2	19	10	12	7	5	20	16	11	21	0
charlieEndogenous	dot-jump	False	53	circle	1024	768	1.16079767166	70.6	94.12	True	JSUPKYTQ7RHNABIXEDLVMCFW	4	-4.10403952609	4.10403952609	4.10403952609	4.10403952609	-4.10247291737	3.76373662144	False	15	8	23	21	3	15	11	14	12	17	22	7	8	6	2	20	9	4	13	1	10	18	5	19	24	16	0
charlieEndogenous	dot-jump	False	54	circle	1024	768	1.16079767166	70.6	94.12	True	URWQEDZXAFVJMPS1BNCIHYTK	5	-5.02640136157	2.90199417916	5.80398835832	0.0	-4.7046707768	2.8604398323	False	20	15	1	18	23	21	11	8	17	14	20	9	15	2	3	12	10	19	7	4	22	6	5	13	16	24	0
charlieEndogenous	dot-jump	False	55	circle	1024	768	1.16079767166	70.6	94.12	True	HTEZFCJVKWAY4ULQINMBSPXR	15	2.90199417916	-5.02640136157	-5.02640136157	-2.90199417916	3.19917612823	-5.04340707273	False	13	12	2	19	7	4	20	8	16	14	13	3	17	10	9	15	21	23	18	12	6	24	5	22	11	1	0
charlieEndogenous	dot-jump	False	56	circle	1024	768	1.16079767166	70.6	94.12	True	QJTBZHEDNVU3ARPMFYXICSLK	3	-2.90199417916	5.02640136157	1.50218272469	-5.60622225078	-2.67225300122	4.25302238223	False	10	11	15	23	12	9	16	8	7	13	20	18	3	14	22	19	4	11	21	2	6	17	1	24	10	5	0
