"","correctSpatial","responseSpatialPos","correctPosInStream","responsePosInStream","position0","position1","position2","position3","position4","position5","position6","position7","position8","position9","position10","position11","position12","position13","position14","position15","position16","position17","position18","position19","position20","position21","position22","position23"
"776",20,21,17,13,23,24,7,15,17,6,10,9,18,12,3,5,21,8,1,11,20,19,22,14,4,13,2,16
"777",13,6,12,10,18,16,5,10,2,4,9,7,1,6,15,13,11,8,22,24,20,12,23,19,21,3,14,17
"778",24,6,15,1,6,13,22,10,12,5,16,8,23,2,19,15,4,7,24,3,20,9,18,21,11,14,1,17
"779",12,17,17,16,6,1,24,9,11,16,7,10,13,18,2,14,23,22,4,17,12,8,5,20,3,15,19,21
"780",10,12,9,10,14,23,8,21,2,24,18,9,10,12,6,7,11,3,22,20,5,17,15,13,1,19,4,16
"781",22,23,10,19,20,9,14,7,1,19,11,10,12,22,4,24,6,3,16,2,5,17,23,8,18,21,13,15
"782",24,24,14,14,8,11,1,10,17,23,6,3,7,15,12,2,18,24,4,13,16,19,22,9,14,5,21,20
"783",1,15,11,18,4,3,21,22,11,23,17,19,13,24,1,14,2,7,10,6,9,15,5,8,18,20,12,16
"784",21,21,13,13,4,15,16,12,7,22,23,9,18,20,5,6,21,3,8,14,17,2,19,10,24,1,13,11
"785",6,19,16,18,13,3,2,8,10,11,21,20,1,23,15,5,16,24,14,6,18,19,7,22,4,9,12,17
"786",8,15,11,13,11,2,12,1,6,21,9,10,7,16,8,3,15,23,5,24,20,22,14,18,17,4,19,13
"787",19,23,10,14,17,9,1,13,20,3,7,18,5,19,24,16,21,23,6,11,2,10,8,15,14,22,12,4
"788",13,11,12,16,5,6,9,20,4,7,14,15,1,2,19,13,17,16,24,11,23,21,12,18,8,22,3,10
"789",3,2,15,16,20,8,10,9,19,12,4,13,22,18,15,23,17,7,3,2,5,14,24,11,6,21,1,16
"790",4,5,14,18,17,8,22,6,18,1,19,14,2,11,12,7,9,4,21,20,13,5,3,24,10,15,16,23
"791",21,11,17,5,12,23,17,15,11,4,1,3,8,24,5,13,22,7,18,9,21,2,6,10,20,19,16,14
"792",14,13,16,20,16,24,6,2,3,9,5,1,4,11,23,18,8,10,7,14,21,19,20,13,22,12,15,17
"793",9,3,9,5,17,11,18,7,3,6,8,1,9,13,10,4,20,22,19,21,14,23,24,5,12,2,16,15
"794",23,21,13,21,11,3,16,15,2,1,18,19,20,17,10,9,23,22,6,5,24,7,14,8,21,13,4,12
"795",14,3,10,11,6,19,9,8,2,17,12,1,22,14,3,20,11,18,13,15,10,7,23,5,16,21,24,4
"796",6,23,14,18,17,18,3,14,13,20,22,11,1,7,19,12,15,6,24,10,16,23,21,4,8,2,5,9
"797",15,23,11,14,5,21,1,17,7,4,3,6,24,12,15,16,22,23,8,18,9,20,2,11,13,19,14,10
"798",13,3,17,2,16,3,19,11,21,24,17,4,2,15,22,9,8,23,12,1,13,10,6,14,18,20,7,5
"799",2,3,16,3,8,22,3,18,21,13,10,1,19,5,16,4,6,9,24,2,7,14,17,12,15,11,20,23
"800",18,21,13,15,17,12,24,11,9,3,22,1,2,20,6,10,18,19,21,8,5,16,7,14,23,13,15,4
"801",18,22,9,23,19,24,6,4,3,16,2,17,18,23,11,5,8,12,1,14,10,21,9,15,13,7,22,20
"802",3,21,15,12,13,12,11,15,23,8,2,16,5,18,9,21,10,4,3,22,7,20,6,24,1,19,14,17
"803",4,20,12,15,8,23,11,18,22,24,12,14,17,9,7,4,3,6,20,1,16,5,13,19,15,2,21,10
"804",5,21,12,21,8,12,19,1,18,11,6,16,15,17,3,5,7,10,4,13,14,23,24,2,21,22,20,9
"805",24,12,9,13,21,22,13,19,11,8,5,4,24,6,9,3,12,16,20,15,2,7,14,1,23,18,17,10
"806",10,11,10,21,13,17,5,1,15,23,2,4,20,10,21,24,6,8,18,3,14,16,12,9,11,19,22,7
"807",13,7,16,12,20,2,18,3,4,11,10,12,1,17,15,7,22,5,8,13,6,19,23,9,14,24,21,16
"808",23,12,17,21,3,17,19,21,24,20,2,7,8,9,5,15,10,14,6,13,23,18,22,1,12,11,16,4
"809",21,24,11,13,17,23,22,10,11,13,12,8,16,3,21,19,24,5,1,18,14,6,4,9,15,20,7,2
"810",9,11,14,21,14,2,24,20,13,6,5,3,10,17,7,15,18,9,12,23,19,22,1,21,11,8,4,16
"811",14,14,15,15,16,11,13,15,24,12,4,7,20,9,1,2,6,8,14,5,21,23,3,17,22,10,18,19
"812",14,21,13,8,12,23,3,10,7,18,1,21,2,5,8,22,14,20,4,11,19,16,17,24,15,9,13,6
