subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
IvT 	 dot-jump 	 False 	 83 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -1.50218272469 	 5.60622225078 	 -4.14011028359 	 3.72609925523 	 False 	 22 	 11 	6 	11 	19 	9 	1 	24 	23 	22 	18 	10 	21 	2 	3 	12 	7 	16 	15 	13 	17 	5 	8 	20 	4 	14 	0
IvT 	 dot-jump 	 False 	 84 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 5.80398835832 	 0.0 	 -3.46263769173 	 -4.1777476498 	 False 	 4 	 15 	2 	23 	4 	6 	10 	16 	14 	3 	17 	11 	13 	20 	12 	24 	9 	19 	1 	21 	8 	7 	5 	15 	18 	22 	0
IvT 	 dot-jump 	 False 	 85 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 2.90199417916 	 -5.02640136157 	 -5.41978073488 	 1.35494518372 	 False 	 10 	 8 	13 	5 	7 	20 	3 	1 	11 	23 	15 	18 	6 	19 	16 	9 	24 	12 	22 	8 	14 	17 	4 	10 	21 	2 	0
IvT 	 dot-jump 	 False 	 86 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 5.02640136157 	 -2.90199417916 	 -4.1777476498 	 -3.9142860863 	 False 	 16 	 9 	5 	15 	24 	7 	2 	18 	3 	13 	4 	17 	23 	19 	14 	8 	22 	1 	10 	11 	21 	20 	6 	16 	9 	12 	0
IvT 	 dot-jump 	 False 	 87 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -5.60622225078 	 -1.50218272469 	 -3.95192345251 	 -3.95192345251 	 False 	 20 	 10 	17 	11 	1 	7 	19 	2 	22 	18 	16 	9 	8 	21 	24 	13 	14 	12 	3 	20 	5 	4 	10 	6 	23 	15 	0
IvT 	 dot-jump 	 False 	 88 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 5.60622225078 	 1.50218272469 	 -4.1777476498 	 4.25302238223 	 False 	 8 	 12 	11 	14 	15 	2 	22 	6 	10 	13 	4 	9 	21 	1 	20 	3 	18 	5 	23 	8 	17 	12 	16 	19 	7 	24 	0
IvT 	 dot-jump 	 False 	 89 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 5.80398835832 	 0.0 	 4.14011028359 	 3.57554979037 	 False 	 2 	 14 	8 	17 	22 	9 	10 	14 	2 	1 	5 	16 	12 	7 	15 	20 	19 	11 	24 	18 	23 	21 	4 	3 	6 	13 	0
IvT 	 dot-jump 	 False 	 90 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 3.76373662144 	 3.80137398766 	 True 	 16 	 16 	20 	14 	3 	8 	15 	23 	13 	19 	16 	10 	6 	9 	2 	1 	4 	21 	22 	7 	24 	17 	12 	5 	18 	11 	0
IvT 	 dot-jump 	 False 	 91 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 -2.90199417916 	 -4.62939604437 	 2.63461563501 	 False 	 20 	 14 	15 	23 	4 	18 	24 	7 	3 	21 	14 	11 	17 	19 	13 	1 	9 	12 	6 	8 	2 	16 	5 	22 	10 	20 	0
IvT 	 dot-jump 	 False 	 92 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 -5.80398835832 	 0.0 	 4.1777476498 	 4.10247291737 	 False 	 23 	 9 	11 	4 	15 	16 	19 	9 	1 	8 	5 	7 	17 	3 	21 	20 	2 	12 	23 	6 	10 	14 	18 	13 	24 	22 	0
