subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
KR 	 dot-jump 	 False 	 249 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 5.02640136157 	 -2.90199417916 	 -2.89807719851 	 4.9681323403 	 False 	 1 	 16 	12 	3 	15 	24 	10 	1 	8 	14 	20 	11 	13 	19 	4 	23 	5 	9 	17 	2 	7 	21 	18 	16 	22 	6 	0
KR 	 dot-jump 	 False 	 250 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -5.02640136157 	 2.90199417916 	 -4.29065974844 	 -4.47884657952 	 False 	 14 	 12 	9 	21 	18 	7 	16 	17 	3 	2 	12 	23 	15 	4 	5 	8 	10 	1 	20 	13 	11 	24 	14 	6 	22 	19 	0
KR 	 dot-jump 	 False 	 251 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 5.60622225078 	 -1.50218272469 	 4.25302238223 	 -4.32829711466 	 False 	 7 	 8 	12 	5 	22 	9 	17 	1 	14 	16 	18 	15 	11 	21 	3 	23 	24 	4 	10 	13 	2 	8 	20 	19 	6 	7 	0
KR 	 dot-jump 	 False 	 252 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 2 	 -1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 -1.58076938101 	 5.72087966459 	 False 	 17 	 16 	3 	7 	17 	8 	4 	20 	6 	14 	12 	13 	15 	11 	19 	5 	23 	16 	24 	2 	1 	10 	9 	18 	21 	22 	0
KR 	 dot-jump 	 False 	 253 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 1 	 0.0 	 5.80398835832 	 1.50218272469 	 5.60622225078 	 0.0 	 5.87142912945 	 False 	 13 	 10 	19 	22 	16 	2 	3 	6 	21 	5 	11 	4 	24 	7 	20 	1 	8 	12 	18 	10 	23 	13 	14 	9 	15 	17 	0
KR 	 dot-jump 	 False 	 254 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 2 	 -1.50218272469 	 5.60622225078 	 5.02640136157 	 2.90199417916 	 -1.88186831072 	 5.45741810109 	 False 	 5 	 9 	13 	16 	9 	14 	3 	2 	18 	17 	20 	21 	15 	23 	22 	19 	10 	1 	11 	8 	7 	6 	5 	4 	24 	12 	0
KR 	 dot-jump 	 False 	 255 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 2 	 -1.50218272469 	 5.60622225078 	 0.0 	 5.80398835832 	 -1.80659357829 	 5.68324229838 	 False 	 4 	 14 	5 	10 	19 	14 	2 	3 	17 	13 	23 	12 	15 	18 	22 	8 	1 	4 	7 	16 	20 	9 	6 	11 	24 	21 	0
KR 	 dot-jump 	 False 	 256 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 -1.50218272469 	 5.60622225078 	 -2.82280246608 	 5.15631917138 	 False 	 1 	 11 	17 	3 	14 	6 	16 	4 	24 	10 	15 	21 	13 	2 	12 	22 	8 	9 	1 	7 	19 	11 	5 	23 	18 	20 	0
KR 	 dot-jump 	 False 	 257 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 2.90199417916 	 5.02640136157 	 4.10247291737 	 4.32829711466 	 False 	 13 	 15 	11 	3 	1 	20 	16 	8 	2 	6 	15 	21 	24 	5 	9 	22 	18 	23 	10 	13 	14 	4 	17 	12 	7 	19 	0
KR 	 dot-jump 	 False 	 258 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 0.0 	 -5.80398835832 	 -1.46785728236 	 -5.26923127002 	 False 	 16 	 8 	23 	24 	16 	6 	1 	11 	7 	14 	13 	10 	5 	19 	17 	20 	9 	2 	12 	8 	18 	4 	15 	21 	22 	3 	0
KR 	 dot-jump 	 False 	 259 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 -5.60622225078 	 -1.50218272469 	 3.31208822687 	 -4.85522024166 	 False 	 11 	 13 	22 	7 	19 	20 	4 	14 	9 	12 	17 	6 	23 	15 	21 	8 	5 	1 	3 	11 	18 	10 	24 	16 	13 	2 	0
KR 	 dot-jump 	 False 	 260 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 -0.301098929715 	 -5.79615439702 	 True 	 12 	 12 	24 	17 	14 	22 	15 	23 	11 	1 	4 	19 	6 	21 	13 	20 	18 	7 	12 	3 	8 	16 	2 	5 	10 	9 	0
KR 	 dot-jump 	 False 	 261 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 4.10403952609 	 4.10403952609 	 1.12912098643 	 -5.30686863623 	 False 	 22 	 9 	18 	6 	15 	11 	23 	3 	9 	4 	16 	22 	13 	5 	20 	1 	12 	7 	8 	24 	10 	17 	19 	21 	14 	2 	0
KR 	 dot-jump 	 False 	 262 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 5.60622225078 	 -1.50218272469 	 -2.97335193094 	 -4.77994550923 	 False 	 13 	 10 	13 	8 	2 	12 	23 	1 	15 	20 	17 	10 	18 	7 	4 	11 	6 	19 	14 	22 	9 	16 	5 	21 	24 	3 	0
KR 	 dot-jump 	 False 	 263 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 5.80398835832 	 0.0 	 -5.41978073488 	 -1.43021991615 	 False 	 18 	 16 	2 	10 	15 	7 	23 	22 	21 	13 	1 	24 	16 	4 	11 	9 	12 	6 	19 	18 	8 	3 	17 	14 	5 	20 	0
KR 	 dot-jump 	 False 	 264 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 -2.90199417916 	 -5.02640136157 	 -3.04862666337 	 -5.00576970652 	 True 	 14 	 14 	20 	5 	21 	1 	17 	9 	7 	12 	6 	14 	8 	19 	13 	16 	11 	3 	15 	2 	23 	4 	10 	18 	24 	22 	0
KR 	 dot-jump 	 False 	 265 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 2.90199417916 	 5.02640136157 	 1.76895621208 	 -5.45741810109 	 False 	 17 	 11 	10 	16 	20 	7 	9 	13 	4 	19 	18 	24 	17 	23 	12 	6 	15 	8 	3 	14 	21 	2 	1 	5 	11 	22 	0
KR 	 dot-jump 	 False 	 266 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 5.80398835832 	 0.0 	 1.46785728236 	 5.90906649566 	 False 	 4 	 12 	15 	23 	4 	2 	24 	7 	5 	20 	21 	6 	18 	1 	19 	9 	14 	17 	11 	10 	22 	13 	8 	16 	3 	12 	0
KR 	 dot-jump 	 False 	 267 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 7 	 -5.80398835832 	 0.0 	 0.0 	 -5.80398835832 	 -5.53269283352 	 0.0 	 False 	 21 	 13 	24 	6 	14 	16 	2 	10 	21 	9 	23 	4 	15 	17 	5 	13 	8 	12 	20 	18 	3 	22 	1 	7 	11 	19 	0
KR 	 dot-jump 	 False 	 268 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 5.02640136157 	 -2.90199417916 	 -2.55934090258 	 -4.89285760787 	 False 	 17 	 8 	8 	5 	3 	15 	13 	14 	20 	10 	17 	21 	24 	4 	2 	23 	9 	6 	7 	11 	12 	16 	1 	19 	18 	22 	0
KR 	 dot-jump 	 False 	 269 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 -2.90199417916 	 -5.02640136157 	 -2.97335193094 	 -4.77994550923 	 True 	 15 	 15 	4 	15 	7 	13 	3 	10 	17 	18 	23 	1 	8 	2 	20 	22 	12 	11 	19 	24 	16 	6 	9 	21 	5 	14 	0
